config,checkpoint,dataset,dataset_split,corruption,severity,summary,top1,top5,head0_top1,head0_top5
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_25/best_head0_top1_epoch_194.pth,CIFAR100,test,clean,0,clean,77.9,93.12,77.9,93.12
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_25/best_head0_top1_epoch_194.pth,CIFAR100,test,gaussian_noise,1,severity,22.13,43.35,22.13,43.35
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_25/best_head0_top1_epoch_194.pth,CIFAR100,test,gaussian_noise,2,severity,10.51,24.42,10.51,24.42
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_25/best_head0_top1_epoch_194.pth,CIFAR100,test,gaussian_noise,3,severity,4.52,13.0,4.52,13.0
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_25/best_head0_top1_epoch_194.pth,CIFAR100,test,gaussian_noise,4,severity,1.86,7.9,1.86,7.9
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_25/best_head0_top1_epoch_194.pth,CIFAR100,test,gaussian_noise,5,severity,1.11,6.01,1.11,6.01
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_25/best_head0_top1_epoch_194.pth,CIFAR100,test,shot_noise,1,severity,21.4,42.88,21.4,42.88
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_25/best_head0_top1_epoch_194.pth,CIFAR100,test,shot_noise,2,severity,9.48,23.47,9.48,23.47
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_25/best_head0_top1_epoch_194.pth,CIFAR100,test,shot_noise,3,severity,4.13,13.17,4.13,13.17
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_25/best_head0_top1_epoch_194.pth,CIFAR100,test,shot_noise,4,severity,1.83,7.84,1.83,7.84
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_25/best_head0_top1_epoch_194.pth,CIFAR100,test,shot_noise,5,severity,1.39,6.74,1.39,6.74
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_25/best_head0_top1_epoch_194.pth,CIFAR100,test,impulse_noise,1,severity,61.88,84.02,61.88,84.02
