config,checkpoint,dataset,dataset_split,corruption,severity,summary,top1,top5,head0_top1,head0_top5
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/grayscale/mixup/seed_7/best_head0_top1_epoch_196.pth,CIFAR100,test,clean,0,clean,71.98,90.01,71.98,90.01
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/grayscale/mixup/seed_7/best_head0_top1_epoch_196.pth,CIFAR100,test,gaussian_noise,1,severity,20.56,44.1,20.56,44.1
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/grayscale/mixup/seed_7/best_head0_top1_epoch_196.pth,CIFAR100,test,gaussian_noise,2,severity,9.93,27.16,9.93,27.16
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/grayscale/mixup/seed_7/best_head0_top1_epoch_196.pth,CIFAR100,test,gaussian_noise,3,severity,4.1,15.19,4.1,15.19
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/grayscale/mixup/seed_7/best_head0_top1_epoch_196.pth,CIFAR100,test,gaussian_noise,4,severity,1.66,9.16,1.66,9.16
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/grayscale/mixup/seed_7/best_head0_top1_epoch_196.pth,CIFAR100,test,gaussian_noise,5,severity,0.97,5.95,0.97,5.95
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/grayscale/mixup/seed_7/best_head0_top1_epoch_196.pth,CIFAR100,test,shot_noise,1,severity,19.33,42.24,19.33,42.24
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/grayscale/mixup/seed_7/best_head0_top1_epoch_196.pth,CIFAR100,test,shot_noise,2,severity,8.99,24.28,8.99,24.28
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/grayscale/mixup/seed_7/best_head0_top1_epoch_196.pth,CIFAR100,test,shot_noise,3,severity,4.06,14.35,4.06,14.35
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/grayscale/mixup/seed_7/best_head0_top1_epoch_196.pth,CIFAR100,test,shot_noise,4,severity,1.56,8.37,1.56,8.37
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/grayscale/mixup/seed_7/best_head0_top1_epoch_196.pth,CIFAR100,test,shot_noise,5,severity,1.13,6.17,1.13,6.17
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/grayscale/mixup/seed_7/best_head0_top1_epoch_196.pth,CIFAR100,test,impulse_noise,1,severity,42.96,68.27,42.96,68.27
