config,checkpoint,dataset,dataset_split,corruption,severity,summary,top1,top5,head0_top1,head0_top5
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,/hkfs/work/workspace/scratch/ma_sagnihot-projects/openmixup/experiments/cifar100/convnext_tiny/color_opponency/mixup/seed_7/best_head0_top1_epoch_169.pth,CIFAR100,test,clean,0,clean,2.45,9.88,2.45,9.88
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,/hkfs/work/workspace/scratch/ma_sagnihot-projects/openmixup/experiments/cifar100/convnext_tiny/color_opponency/mixup/seed_7/best_head0_top1_epoch_169.pth,CIFAR100,test,gaussian_noise,1,severity,1.64,6.23,1.64,6.23
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,/hkfs/work/workspace/scratch/ma_sagnihot-projects/openmixup/experiments/cifar100/convnext_tiny/color_opponency/mixup/seed_7/best_head0_top1_epoch_169.pth,CIFAR100,test,gaussian_noise,2,severity,1.28,6.22,1.28,6.22
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,/hkfs/work/workspace/scratch/ma_sagnihot-projects/openmixup/experiments/cifar100/convnext_tiny/color_opponency/mixup/seed_7/best_head0_top1_epoch_169.pth,CIFAR100,test,gaussian_noise,3,severity,1.23,6.54,1.23,6.54
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,/hkfs/work/workspace/scratch/ma_sagnihot-projects/openmixup/experiments/cifar100/convnext_tiny/color_opponency/mixup/seed_7/best_head0_top1_epoch_169.pth,CIFAR100,test,gaussian_noise,4,severity,1.24,6.39,1.24,6.39
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,/hkfs/work/workspace/scratch/ma_sagnihot-projects/openmixup/experiments/cifar100/convnext_tiny/color_opponency/mixup/seed_7/best_head0_top1_epoch_169.pth,CIFAR100,test,gaussian_noise,5,severity,1.1,6.19,1.1,6.19
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,/hkfs/work/workspace/scratch/ma_sagnihot-projects/openmixup/experiments/cifar100/convnext_tiny/color_opponency/mixup/seed_7/best_head0_top1_epoch_169.pth,CIFAR100,test,shot_noise,1,severity,1.5,6.16,1.5,6.16
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,/hkfs/work/workspace/scratch/ma_sagnihot-projects/openmixup/experiments/cifar100/convnext_tiny/color_opponency/mixup/seed_7/best_head0_top1_epoch_169.pth,CIFAR100,test,shot_noise,2,severity,1.32,6.34,1.32,6.34
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,/hkfs/work/workspace/scratch/ma_sagnihot-projects/openmixup/experiments/cifar100/convnext_tiny/color_opponency/mixup/seed_7/best_head0_top1_epoch_169.pth,CIFAR100,test,shot_noise,3,severity,1.19,6.43,1.19,6.43
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,/hkfs/work/workspace/scratch/ma_sagnihot-projects/openmixup/experiments/cifar100/convnext_tiny/color_opponency/mixup/seed_7/best_head0_top1_epoch_169.pth,CIFAR100,test,shot_noise,4,severity,1.09,6.07,1.09,6.07
