config,checkpoint,dataset,dataset_split,corruption,severity,summary,top1,top5,head0_top1,head0_top5
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,clean,0,clean,77.52,92.8,77.52,92.8
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,gaussian_noise,1,severity,24.09,46.1,24.09,46.1
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,gaussian_noise,2,severity,11.79,26.66,11.79,26.66
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,gaussian_noise,3,severity,4.89,14.75,4.89,14.75
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,gaussian_noise,4,severity,2.16,8.17,2.16,8.17
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,gaussian_noise,5,severity,1.34,5.81,1.34,5.81
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,shot_noise,1,severity,23.42,45.89,23.42,45.89
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,shot_noise,2,severity,10.34,25.44,10.34,25.44
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,shot_noise,3,severity,4.65,14.57,4.65,14.57
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,shot_noise,4,severity,2.01,7.95,2.01,7.95
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,shot_noise,5,severity,1.49,6.66,1.49,6.66
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,impulse_noise,1,severity,55.16,79.43,55.16,79.43
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,impulse_noise,2,severity,31.38,54.66,31.38,54.66
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,impulse_noise,3,severity,14.62,32.82,14.62,32.82
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,impulse_noise,4,severity,3.19,11.68,3.19,11.68
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,impulse_noise,5,severity,1.36,6.43,1.36,6.43
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,defocus_blur,1,severity,26.07,50.59,26.07,50.59
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,defocus_blur,2,severity,9.47,24.95,9.47,24.95
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,defocus_blur,3,severity,3.08,10.95,3.08,10.95
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,defocus_blur,4,severity,1.75,7.81,1.75,7.81
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,defocus_blur,5,severity,1.54,6.69,1.54,6.69
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,glass_blur,1,severity,26.32,54.6,26.32,54.6
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,glass_blur,2,severity,16.26,42.85,16.26,42.85
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,glass_blur,3,severity,7.8,29.14,7.8,29.14
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,glass_blur,4,severity,5.9,25.4,5.9,25.4
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/color_opponency/vanilla_redo/seed_7/best_head0_top1_epoch_186.pth,CIFAR100,test,glass_blur,5,severity,2.64,17.35,2.64,17.35
