config,checkpoint,dataset,dataset_split,corruption,severity,summary,top1,top5,head0_top1,head0_top5
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,clean,0,clean,15.43,30.75,15.43,30.75
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,gaussian_noise,1,severity,5.15,15.88,5.15,15.88
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,gaussian_noise,2,severity,3.32,13.07,3.32,13.07
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,gaussian_noise,3,severity,2.3,10.83,2.3,10.83
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,gaussian_noise,4,severity,1.27,6.36,1.27,6.36
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,gaussian_noise,5,severity,1.23,5.43,1.23,5.43
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,shot_noise,1,severity,5.14,15.96,5.14,15.96
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,shot_noise,2,severity,3.77,13.3,3.77,13.3
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,shot_noise,3,severity,2.24,10.69,2.24,10.69
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,shot_noise,4,severity,1.24,5.99,1.24,5.99
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,shot_noise,5,severity,1.11,5.64,1.11,5.64
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,impulse_noise,1,severity,8.8,22.67,8.8,22.67
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,impulse_noise,2,severity,5.0,15.15,5.0,15.15
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,impulse_noise,3,severity,3.06,11.22,3.06,11.22
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,impulse_noise,4,severity,1.29,6.24,1.29,6.24
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,impulse_noise,5,severity,1.11,5.62,1.11,5.62
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,defocus_blur,1,severity,6.56,18.16,6.56,18.16
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,defocus_blur,2,severity,4.69,15.22,4.69,15.22
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_cutmix_a2_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/mixup/seed_25/best_head0_top1_epoch_185.pth,CIFAR100,test,defocus_blur,3,severity,3.37,11.74,3.37,11.74
