config,checkpoint,dataset,dataset_split,corruption,severity,summary,top1,top5,head0_top1,head0_top5
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,clean,0,clean,20.0,37.06,20.0,37.06
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,gaussian_noise,1,severity,7.83,21.85,7.83,21.85
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,gaussian_noise,2,severity,4.91,16.57,4.91,16.57
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,gaussian_noise,3,severity,2.88,12.05,2.88,12.05
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,gaussian_noise,4,severity,1.57,7.54,1.57,7.54
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,gaussian_noise,5,severity,1.2,5.67,1.2,5.67
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,shot_noise,1,severity,8.1,21.74,8.1,21.74
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,shot_noise,2,severity,5.0,16.49,5.0,16.49
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,shot_noise,3,severity,3.14,12.21,3.14,12.21
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,shot_noise,4,severity,1.63,7.41,1.63,7.41
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,shot_noise,5,severity,1.23,6.31,1.23,6.31
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,impulse_noise,1,severity,12.45,27.49,12.45,27.49
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,impulse_noise,2,severity,6.63,16.92,6.63,16.92
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,impulse_noise,3,severity,3.39,10.91,3.39,10.91
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_42/best_head0_top1_epoch_191.pth,CIFAR100,test,impulse_noise,4,severity,1.31,6.1,1.31,6.1
